Check ID,Check Name,Limb,"Requirement from ""What to Look For""",Canonical Path,Evidence Categories to Compare Against,Trigger Field,Notes
CHK-009,Replacement or Switch Justification,Consistency,Details of lost features and guarantees,replacementAnalysis[].featuresOrGuaranteesLost[];existingArrangements[].safeguardedBenefits;replacementAnalysis[].employerContributionsLost,E;G,hasReplacementOrSwitch,"SetCoverage. 6 queries, 6 Core (Q9.3.1, Q9.3.2, Q9.3.3, Q9.3.4, Q9.3.5, Q9.3.6)"
CHK-009,Replacement or Switch Justification,Consistency,Alternatives to the switch considered,replacementAnalysis[].alternativesConsidered[],G,hasReplacementOrSwitch,"SetCoverage. 3 queries, 3 Core (Q9.4.1, Q9.4.2, Q9.4.3)"
CHK-009,Replacement or Switch Justification,Appropriateness,Switching costs exceed the benefits,replacementAnalysis[].costsOfSwitching;replacementAnalysis[].benefitsOfSwitching[];costsAndCharges.reductionInYield[].criticalYieldPercentage,G;H;F,hasReplacementOrSwitch,"RangeMatch. 3 queries, 3 Core (Q9.5.1, Q9.5.2, Q9.5.3)"
CHK-009,Replacement or Switch Justification,Appropriateness,Lost guarantees or benefits disadvantage the client,existingArrangements[].safeguardedBenefits.isBeingGivenUp;existingArrangements[].exitPenalties,E;G,hasReplacementOrSwitch,"NarrativeAlignment. 2 queries, 1 Core (Q9.6.1, Q9.6.2)"
CHK-009,Replacement or Switch Justification,Appropriateness,Other alternatives provide better outcomes for the client,replacementAnalysis[].alternativesConsidered[];research.optionsConsidered[],G,hasReplacementOrSwitch,"NarrativeAlignment. 2 queries, 2 Core (Q9.7.1, Q9.7.2)"
CHK-009,Replacement or Switch Justification,Consistency,Evidence supporting claims that higher costs are justified by additional benefits,replacementAnalysis[].benefitsOfSwitching[];replacementAnalysis[].costsOfSwitching;replacementAnalysis[].netBenefitConclusion[],E;G;H,hasReplacementOrSwitch,"NarrativeAlignment. 3 queries, 3 Core (Q9.8.1, Q9.8.2, Q9.8.3)"
CHK-009,Replacement or Switch Justification,Consistency,Evidence elsewhere in the file that supports or contradicts the replacement rationale,replacementAnalysis[].netBenefitConclusion[];recommendations[].rationale[],C;E;G,hasReplacementOrSwitch,"NarrativeAlignment. 3 queries, 3 Core (Q9.9.1, Q9.9.2, Q9.9.3)"
CHK-009,Replacement or Switch Justification,Consistency,Material replacement-related information omitted from the recommendation,replacementAnalysis[].featuresOrGuaranteesLost[];replacementAnalysis[].employerContributionsLost;existingArrangements[].exitPenalties,B;E,hasReplacementOrSwitch,"SetCoverage. 3 queries, 3 Core (Q9.10.1, Q9.10.2, Q9.10.3)"
CHK-010,"Vulnerability, Support Needs and Foreseeable Harm Overlay",Consistency,"Details of additional support and needs, including third-party support",vulnerability.perClient[].supportNeeds[];vulnerability.perClient[].thirdPartySupport;vulnerability.perClient[].thirdPartySupport.authorityType;vulnerability.perClient[].thirdPartySupport.relationship,A;B;C;D,hasVulnerabilityIndicators,"SetCoverage. 5 queries, 4 Core (Q10.1.1, Q10.1.2, Q10.1.3, Q10.1.4, Q10.1.5)"
CHK-010,"Vulnerability, Support Needs and Foreseeable Harm Overlay",Consistency,Communication preferences and formats,vulnerability.perClient[].communicationPreferences,A;C,hasVulnerabilityIndicators,"ValueMatch. 3 queries, 2 Core (Q10.2.1, Q10.2.2, Q10.2.3)"
CHK-010,"Vulnerability, Support Needs and Foreseeable Harm Overlay",Consistency,Adjustments made to support client comprehension,vulnerability.perClient[].adjustmentsMade[];vulnerability.perClient[].characteristics[],C,hasVulnerabilityIndicators,"SetCoverage. 4 queries, 3 Core (Q10.3.1, Q10.3.2, Q10.3.3, Q10.3.4)"
CHK-010,"Vulnerability, Support Needs and Foreseeable Harm Overlay",Appropriateness,Vulnerability has a material impact on the recommendation (overlay),vulnerability.perClient[].impactOnRecommendation[];vulnerability.foreseeableHarms[],B;C;F;D,hasVulnerabilityIndicators,"NarrativeAlignment. 5 queries, 4 Core (Q10.4.1, Q10.4.2, Q10.4.3, Q10.4.4, Q10.4.5)"
CHK-010,"Vulnerability, Support Needs and Foreseeable Harm Overlay",Consistency,Vulnerabilities recorded in the file and in the report,vulnerability.perClient[].hasVulnerability;vulnerability.perClient[].categories[];vulnerability.perClient[].characteristics[];vulnerability.perClient[].assessedOn,B;C,hasVulnerabilityIndicators,"SetCoverage. 3 queries, 3 Core (Q10.5.1, Q10.5.2, Q10.5.3)"
